game_id,matchup,abbr,attendance,conference_game,game_date,neutral_site,venue_id,venue_name,venue_city,venue_state,broadcast_type,network
401539475,Oregon Ducks at Washington Huskies,ORE VS WASH,61195,False,2023-12-02T01:00Z,True,6501,Allegiant Stadium,Las Vegas,NV,TV,ABC
401539475,Oregon Ducks at Washington Huskies,ORE VS WASH,61195,False,2023-12-02T01:00Z,True,6501,Allegiant Stadium,Las Vegas,NV,Radio,ESPNRM
401539476,New Mexico State Aggies at Liberty Flames,NMSU @ LIB,20077,False,2023-12-02T00:00Z,False,3992,Williams Stadium (VA),Lynchburg,VA,TV,CBSSN
401539483,Georgia Bulldogs at Alabama Crimson Tide,UGA VS ALA,78320,False,2023-12-02T21:00Z,True,5348,Mercedes-Benz Stadium,Atlanta,GA,TV,CBS
401539480,Michigan Wolverines at Iowa Hawkeyes,MICH VS IOWA,67842,False,2023-12-03T01:00Z,True,3812,Lucas Oil Stadium,Indianapolis,IN,TV,FOX
401539478,Louisville Cardinals at Florida State Seminoles,LOU VS FSU,62314,False,2023-12-03T01:00Z,True,3628,Bank of America Stadium,Charlotte,NC,TV,ABC
401539478,Louisville Cardinals at Florida State Seminoles,LOU VS FSU,62314,False,2023-12-03T01:00Z,True,3628,Bank of America Stadium,Charlotte,NC,Radio,ESPNRM
401539479,Oklahoma State Cowboys at Texas Longhorns,OKST VS TEX,84523,False,2023-12-02T17:00Z,True,3687,AT&T Stadium,Arlington,TX,TV,ABC
401539479,Oklahoma State Cowboys at Texas Longhorns,OKST VS TEX,84523,False,2023-12-02T17:00Z,True,3687,AT&T Stadium,Arlington,TX,Radio,ESPNRM
401539477,SMU Mustangs at Tulane Green Wave,SMU @ TULN,25206,False,2023-12-02T21:00Z,False,4729,Yulman Stadium,New Orleans,LA,TV,ABC
401539481,Miami (OH) RedHawks at Toledo Rockets,M-OH VS TOL,20200,False,2023-12-02T17:00Z,True,3727,Ford Field,Detroit,MI,TV,ESPN
401539482,Boise State Broncos at UNLV Rebels,BOIS @ UNLV,31473,False,2023-12-02T20:00Z,False,6501,Allegiant Stadium,Las Vegas,NV,TV,FOX
401539484,Appalachian State Mountaineers at Troy Trojans,APP @ TROY,20183,False,2023-12-02T21:00Z,False,3975,Veterans Memorial Stadium (AL),Troy,AL,TV,ESPN
